Company_Name,Website,Industry,HQ,Country,Description (Linkedin),Company Size,Date_Victimsed,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
NEXT STEP HEALTHCAR,http://www.nextstephc.com/,Healthcare,"Woburn, Massachusetts",United States,"Next Step Healthcare provides nursing and rehab facilities in Massachusetts for families and individuals who need short or long term options in the face of a variety of health challenges.

We operate 16 locations with integrity, consistency, and the complete understanding that your loved one is depending on us for their care.

A personalized, authentic and worry-free solution in an era of overwhelming options.  

Welcome to the next step in - your heathcare, your career and where you call home.","1,001-5,000 employees","JUL 24, 2024",19465,96,"['Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Healthcare Data']",Qilin
EHS PARTNERSHIPS,http://www.ehsp.com/,Business Services,"Calgary, Alberta",Canada,"Environmental and Occupational Health and Safety, Industrial Hygiene, Project Management, Asbestos, Mould, IAQ, Auditing, Machine Guarding - Calgary, Edmonton, Winnipeg, Ottawa",11-50 employees,"JUL 23, 2024",17904,51,['Customer and Client Data'],Qilin
ON365.CO.UK,http:// www.on365.co.uk,IT Services ,"Loughborough, Leicestershire",United Kingdom,"on365 is a specialist provider of critical physical IT infrastructure and utility services for public sector, SME and corporate clients across the UK and Europe. on365 is a leading authorised Schneider Electric partner in the UK with the highest partner accreditations available.

We're Schneider Electric's biggest service partner with the highest partner accreditations for their products, solutions and services providing full quality assurance for your entire infrastructure.

on365 is totally focused on performance optimisation of the IT environment, providing critical power and cooling services not just for the datacentre but the entire critical physical infrastructure lifecycle of your business.

At on365 we understand the real needs of IT Managers and the true criticality of your IT, networking and communications deliverables as well as operational expectations. We can provide sound, practical advice to help you proactively and efficiently manage across the physical infrastructure right through to chosen IT hardware.",11-50 employees,"JUL 18, 2024",3160,20,"['PII', 'Intellectual Property', 'Utility and Infrastructure Data']",Qilin
ZSZAALEJI.CZ,http://www.zszaaleji.cz/,Education ,Uherske Hradiste,Czech Republic,"We opened the first class with Montessori pedagogy at Za Alej Elementary School in 2013, when 16 first-graders started. Since then, the number of children, classrooms and the collective of teaching staff have grown. In the 2023/2024 school year, 100 children attend the classes, who work with 5 teachers and 3 teaching assistants. You can follow the events in the individual classes on the pages of the MA, MB, MC, MD and ME classes.",,"JUL 17, 2024",21260,197,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
PREFEITURA DO JABOATÃO DOS GUARARAPES,http://www.jaboatao.pe.gov.br/,Utilities,"JaboatÃ£o dos Guararapes, Pernambuco",Brasil,"JaboatÃ£o dos Guararapes Ã© um municÃ­pio brasileiro do estado de Pernambuco, RegiÃ£o Nordeste do paÃ­s. EstÃ¡ localizado na RegiÃ£o Metropolitana do Recife, situando-se a sul da capital do estado, da qual dista cerca de 18 km. Ocupa uma Ã¡rea de 258,7 kmÂ², estando 23,6 kmÂ² formando o perÃ­metro urbano e os 233,7 kmÂ² restantes formando a zona rural do municÃ­pio. Segundo estimativa do Instituto Brasileiro de Geografia e EstatÃ­stica (IBGE), em 2018 sua populaÃ§Ã£o era de 697 636 habitantes, sendo, desta forma, o segundo municÃ­pio mais populoso do estado,alÃ©m disso, a cidade Ã© o maior municÃ­pio sem ser capital no norte-nordeste, sendo tambÃ©m, maior fora do eixo Rio-SÃ£o Paulo. (Fonte: WikipÃ©dia)","10,001+ employees","JUL 16, 2024",3049,1380,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
KMLG,http://www.kmlg.com/,Manufacturing,"Rawalpindi, Punjab",India,"Welcome to Kohinoor Textile Mills Limited (KTML), where tradition meets innovation to shape the future of textiles in Pakistan and beyond. Since our inception in 1953, KTML has been at the forefront of the industry, pioneering new standards of excellence and sustainability. It is also listed on all three national stock exchanges of Pakistan.

From our roots as a spinning and weaving project with 25,000 spindles and 600 looms, KTML has evolved into a fully integrated textile powerhouse, with state-of-the-art capabilities spanning spinning, weaving, dyeing, printing, and stitching; enabling us to produce a wide range of products, including yarn, greige fabric, dyed and printed fabric, and home textile products such as bed linen, quilting, embroidery, and curtains. Our commitment to quality and innovation has enabled us to build a diverse customer base, serving both local and international markets across Asia, Europe, the USA, and Australia.

The Kohinoor Maple Leaf Group (KMLG) was formed following the division of the Saigol Group of Companies and has grown to be a prominent player in Pakistan's textile and cement industries. KMLG includes Kohinoor Textile Mills Limited (KTML),  Maple Leaf Cement Factory Limited (MLCF), and Maple Leaf Capital.

At KTML, we believe in fostering a culture of continuous learning and development, empowering our employees to realize their full potential and drive innovation across our operations. With a focus on environmental stewardship, community engagement, and ethical business practices, we are dedicated to creating value for all our stakeholders while shaping a brighter, more sustainable future for generations to come. 

Kohinoor Textile Mills Limited is dedicatedly committed to upholding the highest standards of excellence, innovation, and corporate responsibility, we invite you to join us on LinkedIn as we continue our journey towards a future shaped by innovation, sustainability, and enduring success.","5,001-10,000 employees","JUL 15, 2024",15729,145,"['Financial Data', 'PII', 'Employee and HR data', 'Databases']",Qilin
EPS.RS,http://www.eps.rs/, Utilities,"Makenzijeva, Belgrade",Serbia,"Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.","10,000","JUL 5, 2024",23070,212,"['Customer and Client Data', 'Databases', 'Utility and Infrastructure Data']",Qilin
EASCHANGESYSTEMS,http://www.easchangesystems.com/,Manufacturing,Renswoude,Nederland,"We help you produce just-in-time with higher speed and more flexibility. 
Thanks to EAS change systems, the clamping and release of molds and dies is done in minutes instead of hours. Our high quality mono- and multi couplers serve a diversity of branches.

EAS offers quick clamping and quick changing systems for plastic injection molding machines (QMC) and metal stamping presses (QDC), as well as multi coupler solutions. The company also offers consulting and engineering expertise to ensure maximum machine productivity. 
Designed and built for integration into existing as well as new equipment (OEM), our solutions include:
â¢ Adaptive clamping systems
â¢ Ejector couplers
â¢ Mono & multi coupler systems
â¢ Mold change tables & transportation vehicles
â¢ Inspection & mold tilting units
â¢ Die lifters
â¢ Pre-rollers
â¢ Project management
â¢ Application engineering
â¢ System installation
â¢ Service and maintenance
â¢ ROI calculations
 
The system solutions of EAS are sold directly to original equipment manufacturers (OEMs), specialized tool distributors, and end users. 

Our manufacturing, engineering and research & development operations are located in the Netherlands, France and China. Being a truly global enterprise, the company has a large sales and service presence on every continent thanks to dedicated partner companies and their local distributors.",51-200 employees,"JUL 5, 2024",22688,331,"['Legal Documents', 'Databases']",Qilin
THE WACKS LAW GROUP,"http://www,wackslaw.net/",Legal Services,New York,United States,The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clientsÕ issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York.Ê,,"JUL 5, 2024",22832,17,"['Customer and Client Data', 'Databases']",Qilin
MACCARINELLI.IT,http://www.maccarinelli.it/,Manufacturing,"Paitone, Lombardy",Italy,Maccarinelli Srl is a company that operates in the Motor Vehicles industry.,,"JUL 5, 2024",22249,33,"['Financial Data', 'Employee and HR data', 'Utility and Infrastructure Data']",Qilin
